id,name,age,gender,salary,consumption_amount
1,Alice,25,0,25000,3480
2,Brian,23,1,22000,3830
3,Christy,19,0,19000,3180
4,Daniel,26,1,20000,3800
5,Elsa,32,0,40000,6280
6,Fanny,29,0,30000,4930
7,Grace,21,0,16000,2800
8,Horace,24,1,20000,3700
9,Iris,22,0,23000,4130
10,Jennifer,19,0,18000,3220
11,Karen,37,0,32000,4730
12,Lily,25,0,22000,4200
13,Marco,22,1,20000,3205
14,Nicola,35,0,29000,4380
15,Oliver,33,1,28000,4200
16,Peggy,18,0,23000,4370
17,Queenie,29,0,21000,3780
18,Rex,39,1,39000,6830
19,Sindy,27,0,23000,4280
20,Tom,30,1,38000,6410
